Year,Area,Cancer Type,Age-Adjusted Rate,Case Count,Population
1999,Alabama,All Types of Cancer,425.3,19296,4430141
1999,Alaska,All Types of Cancer,506.3,1968,624779
1999,Arizona,All Types of Cancer,423.5,21295,5023823
1999,Arkansas,All Types of Cancer,443,12562,2651860
1999,California,All Types of Cancer,466.6,136440,33499204
1999,Colorado,All Types of Cancer,449.8,16144,4226018
1999,Connecticut,All Types of Cancer,516.7,18713,3386401
1999,Delaware,All Types of Cancer,503.7,3976,774990
1999,District of Columbia,All Types of Cancer,530.5,2957,570213
1999,Florida,All Types of Cancer,513.4,100470,15759421
1999,Georgia,All Types of Cancer,446.7,30398,8045965
1999,Hawaii,All Types of Cancer,436.5,5373,1210300
1999,Idaho,All Types of Cancer,445.8,5213,1275674
1999,Illinois,All Types of Cancer,494.8,58868,12359020
1999,Indiana,All Types of Cancer,466.9,27790,6044969
1999,Iowa,All Types of Cancer,489.2,15812,2917634
1999,Kansas,All Types of Cancer,470.2,12727,2678338
1999,Kentucky,All Types of Cancer,519.7,20893,4018053
1999,Louisiana,All Types of Cancer,493.3,20446,4460811
1999,Maine,All Types of Cancer,512,7183,1266808
1999,Maryland,All Types of Cancer,499,24819,5254509
1999,Massachusetts,All Types of Cancer,515.6,33917,6317345
1999,Michigan,All Types of Cancer,523.1,50672,9897116
1999,Minnesota,All Types of Cancer,466.2,21862,4873481
1999,Mississippi,All Types of Cancer,0,0
1999,Missouri,All Types of Cancer,478.3,27706,5561948
1999,Montana,All Types of Cancer,487.4,4596,897507
1999,Nebraska,All Types of Cancer,485.7,8542,1704764
1999,Nevada,All Types of Cancer,421.5,7616,1934718
1999,New Hampshire,All Types of Cancer,489.9,5870,1222014
1999,New Jersey,All Types of Cancer,519.8,45055,8359592
1999,New Mexico,All Types of Cancer,431.8,7306,1808082
1999,New York,All Types of Cancer,494.9,94537,18882725
1999,North Carolina,All Types of Cancer,443.6,34543,7949361
1999,North Dakota,All Types of Cancer,461.6,3189,644259
1999,Ohio,All Types of Cancer,488.4,57136,11335454
1999,Oklahoma,All Types of Cancer,457.5,16105,3437147
1999,Oregon,All Types of Cancer,509.4,17614,3393941
1999,Pennsylvania,All Types of Cancer,502.6,70899,12263805
1999,Puerto Rico,All Types of Cancer,0,0
1999,Rhode Island,All Types of Cancer,540.3,6124,1040402
1999,South Carolina,All Types of Cancer,484,18883,3974682
1999,South Dakota,All Types of Cancer,0,0
1999,Tennessee,All Types of Cancer,390.1,22097,5638706
1999,Texas,All Types of Cancer,469.2,80703,20558220
1999,United States,All Types of Cancer,481.2,1304730,275461348
1999,Utah,All Types of Cancer,416.7,6634,2203482
1999,Vermont,All Types of Cancer,515.9,3188,604683
1999,Virginia,All Types of Cancer,435.1,28787,7000174
1999,Washington,All Types of Cancer,518.1,28193,5842564
1999,West Virginia,All Types of Cancer,503.3,10561,1811799
1999,Wisconsin,All Types of Cancer,495,26846,5332666
1999,Wyoming,All Types of Cancer,472.1,2206,491780
2000,Alabama,All Types of Cancer,433.1,19864,4452173
2000,Alaska,All Types of Cancer,515.5,2057,627963
2000,Arizona,All Types of Cancer,428.6,22107,5160586
2000,Arkansas,All Types of Cancer,443.5,12735,2678588
2000,California,All Types of Cancer,460.5,137527,33987977
2000,Colorado,All Types of Cancer,454.2,16785,4326921
2000,Connecticut,All Types of Cancer,525.3,19216,3411777
2000,Delaware,All Types of Cancer,517.5,4161,786373
2000,District of Columbia,All Types of Cancer,528.9,2960,572046
2000,Florida,All Types of Cancer,523.3,104045,16047515
2000,Georgia,All Types of Cancer,473.5,33015,8227303
2000,Hawaii,All Types of Cancer,418.8,5263,1213519
2000,Idaho,All Types of Cancer,474.7,5669,1299430
2000,Illinois,All Types of Cancer,493.6,59201,12434161
2000,Indiana,All Types of Cancer,481.5,28965,6091866
2000,Iowa,All Types of Cancer,485.6,15761,2929067
2000,Kansas,All Types of Cancer,470.1,12804,2693681
2000,Kentucky,All Types of Cancer,523.2,21361,4049021
2000,Louisiana,All Types of Cancer,494.3,20757,4471885
2000,Maine,All Types of Cancer,532.1,7602,1277072
2000,Maryland,All Types of Cancer,495.2,25122,5311034
2000,Massachusetts,All Types of Cancer,518.3,34463,6361104
2000,Michigan,All Types of Cancer,522.2,51216,9952450
2000,Minnesota,All Types of Cancer,478.4,22776,4933692
2000,Mississippi,All Types of Cancer,0,0
2000,Missouri,All Types of Cancer,469.8,27506,5607285
2000,Montana,All Types of Cancer,500.1,4800,903773
2000,Nebraska,All Types of Cancer,485.7,8592,1713820
2000,Nevada,All Types of Cancer,514.1,9655,2018741
2000,New Hampshire,All Types of Cancer,508,6230,1239882
2000,New Jersey,All Types of Cancer,526.3,46142,8430621
2000,New Mexico,All Types of Cancer,420.3,7281,1821204
2000,New York,All Types of Cancer,502.4,97298,19001780
2000,North Carolina,All Types of Cancer,460,36512,8081614
2000,North Dakota,All Types of Cancer,459.4,3202,642023
2000,Ohio,All Types of Cancer,473.8,55872,11363543
2000,Oklahoma,All Types of Cancer,459.9,16368,3454365
2000,Oregon,All Types of Cancer,497.1,17453,3429708
2000,Pennsylvania,All Types of Cancer,504.6,71417,12284173
2000,Puerto Rico,All Types of Cancer,0,0
2000,Rhode Island,All Types of Cancer,540.1,6170,1050268
2000,South Carolina,All Types of Cancer,477.1,19001,4024223
2000,South Dakota,All Types of Cancer,0,0
2000,Tennessee,All Types of Cancer,402.9,23177,5703719
2000,Texas,All Types of Cancer,473,83256,20944499
2000,United States,All Types of Cancer,483.8,1332335,278558214
2000,Utah,All Types of Cancer,402.4,6565,2244502
2000,Vermont,All Types of Cancer,490.9,3099,609618
2000,Virginia,All Types of Cancer,438.7,29638,7105817
2000,Washington,All Types of Cancer,507,28106,5910512
2000,West Virginia,All Types of Cancer,504,10630,1807021
2000,Wisconsin,All Types of Cancer,487.1,26699,5373999
2000,Wyoming,All Types of Cancer,465.7,2234,494300
2001,Alabama,All Types of Cancer,454.6,21087,4467634
2001,Alaska,All Types of Cancer,517.3,2189,633714
2001,Arizona,All Types of Cancer,440.9,23353,5273477
2001,Arkansas,All Types of Cancer,457.8,13256,2691571
2001,California,All Types of Cancer,467.4,142485,34479458
2001,Colorado,All Types of Cancer,470.8,17832,4425687
2001,Connecticut,All Types of Cancer,532.8,19668,3432835
2001,Delaware,All Types of Cancer,528.5,4329,795699
2001,District of Columbia,All Types of Cancer,512,2884,574504
2001,Florida,All Types of Cancer,522.2,105642,16356966
2001,Georgia,All Types of Cancer,484.2,34556,8377038
2001,Hawaii,All Types of Cancer,434.8,5593,1225948
2001,Idaho,All Types of Cancer,470.2,5752,1319962
2001,Illinois,All Types of Cancer,504,60952,12488445
2001,Indiana,All Types of Cancer,498.4,30280,6127760
2001,Iowa,All Types of Cancer,496.2,16232,2931997
2001,Kansas,All Types of Cancer,466.8,12808,2702162
2001,Kentucky,All Types of Cancer,531.9,21915,4068132
2001,Louisiana,All Types of Cancer,505,21430,4477875
2001,Maine,All Types of Cancer,542,7862,1285692
2001,Maryland,All Types of Cancer,476.2,24619,5374691
2001,Massachusetts,All Types of Cancer,526.4,35256,6397634
